country,year,rgdpe,rgdpo,pop,emp,hc,ccon,cda,cgdpo,cn,ck,ctfp,cwtfp,csh_c,csh_g,csh_r,Country Code,Region,Income Group,gdp_g,gdppc,rel_emp,gdppc_log
ABW,1970,400.08172607421875,463.3041076660156,0.059063,0.0,,228.50283813476562,403.67352294921875,392.98175048828125,1313.0933837890625,,,,0.4686570465564728,0.11280213296413422,-0.036139149218797684,ABW,Latin America & Caribbean,High income,0.0,6773.813149928361,0.0,8.820819449579567
ABW,1971,436.4860534667969,504.684326171875,0.05944,0.0,,248.30563354492188,441.5967712402344,446.1152038574219,1440.54150390625,,,,0.4469287097454071,0.1096666008234024,-0.036139171570539474,ABW,Latin America & Caribbean,High income,0.0,7343.305071783258,0.0,8.901544302521225
ABW,1972,476.1609191894531,550.4886474609375,0.05984,0.0,,269.8290100097656,481.8748474121094,488.22186279296875,1580.7431640625,,,,0.44181373715400696,0.11086329072713852,-0.036139145493507385,ABW,Latin America & Caribbean,High income,0.0,7957.234612123214,0.0,8.981836807940123
ABW,1973,519.418701171875,599.462646484375,0.060243,0.0,,292.3919982910156,525.1504516601562,559.1889038085938,1732.0091552734375,,,,0.41725441813468933,0.10563146322965622,-0.03613915294408798,ABW,Latin America & Caribbean,High income,0.0,8622.059013858458,0.0,9.062079199850864
ABW,1974,566.9456787109375,652.4761352539062,0.060528,0.0,,319.1501770019531,582.1422729492188,649.1333618164062,1902.454833984375,,,,0.39188215136528015,0.09977362304925919,-0.03613923117518425,ABW,Latin America & Caribbean,High income,0.0,9366.667967072059,0.0,9.144912705487034
ABW,1975,618.7149658203125,712.0463256835938,0.060656999999999996,0.0,,346.7532958984375,642.197998046875,700.7422485351562,2084.91943359375,,,,0.3930894732475281,0.10174766182899475,-0.036139048635959625,ABW,Latin America & Caribbean,High income,0.0,10200.223648058964,0.0,9.230164925312275
ABW,1976,674.7798461914062,776.6793823242188,0.060585999999999994,0.0,,378.0282287597656,695.6411743164062,766.6348876953125,2278.6513671875,,,,0.39194875955581665,0.1011519506573677,-0.03613919019699097,ABW,Latin America & Caribbean,High income,0.0,11137.55399252973,0.0,9.318077919581432
ABW,1977,736.0186767578125,849.019775390625,0.060365999999999996,0.0,,414.00653076171875,756.2145385742188,789.8707275390625,2494.073486328125,,,,0.4168032705783844,0.10734140872955322,-0.03613944724202156,ABW,Latin America & Caribbean,High income,0.0,12192.603067253298,0.0,9.408584740880716
ABW,1978,802.8256225585938,924.476806640625,0.060103,0.0,,450.7140808105469,822.58837890625,906.7666015625,2724.65185546875,,,,0.39585915207862854,0.10119718313217163,-0.03613850846886635,ABW,Latin America & Caribbean,High income,0.0,13357.496673353971,0.0,9.49983305478484
ABW,1979,875.7748413085938,1006.4696044921875,0.05998,0.0,,491.336181640625,896.7796630859375,1045.7459716796875,2983.342529296875,,,,0.3753456175327301,0.09449715912342072,-0.03613961115479469,ABW,Latin America & Caribbean,High income,0.0,14601.114393274322,0.0,9.588853133090032
ABW,1980,955.6321411132812,1097.3193359375,0.060096,0.0,,540.11962890625,985.666259765625,1158.84765625,3263.031005859375,,,,0.372492253780365,0.0935911312699318,-0.036140233278274536,ABW,Latin America & Caribbean,High income,0.0,15901.759536629415,0.0,9.674185044766755
ABW,1981,1042.46826171875,1197.6456298828125,0.060566999999999996,0.0,,591.1709594726562,1075.8607177734375,1247.0731201171875,3584.26708984375,,,,0.37772953510284424,0.09631719440221786,-0.036135680973529816,ABW,Latin America & Caribbean,High income,0.0,17211.819335921376,0.0,9.753351597500973
ABW,1982,1137.420654296875,1306.708251953125,0.061345,0.0,,646.2805786132812,1178.43896484375,1353.783447265625,3928.56787109375,,,,0.38048863410949707,0.0968998447060585,-0.03614291176199913,ABW,Latin America & Caribbean,High income,0.0,18541.3750802327,0.0,9.827760004666855
ABW,1983,1240.5838623046875,1425.2816162109375,0.062201,0.0,,706.2596435546875,1278.3360595703125,1482.41259765625,4278.73681640625,,,,0.3808467388153076,0.09557908028364182,-0.036142103374004364,ABW,Latin America & Caribbean,High income,0.0,19944.75751683554,0.0,9.900721606674002
ABW,1984,1352.7728271484375,1555.4168701171875,0.062836,0.0,,768.1420288085938,1384.9581298828125,1601.07373046875,4671.88427734375,,,,0.38411062955856323,0.09565618634223938,-0.03612203896045685,ABW,Latin America & Caribbean,High income,0.0,21528.62733382834,0.0,9.977138832349521
ABW,1985,1476.161376953125,1692.1865234375,0.063026,0.0,,840.8717041015625,1512.283203125,1879.26123046875,5117.10546875,,,,0.35787951946258545,0.08956848084926605,-0.03616459295153618,ABW,Latin America & Caribbean,High income,0.0,23421.466965270287,0.0,10.061408272477449
ABW,1986,1610.1080322265625,1848.2247314453125,0.06264399999999999,0.0,,920.9556884765625,1644.1123046875,1984.8175048828125,5592.875,,,,0.37039414048194885,0.09360603988170624,-0.036139681935310364,ABW,Latin America & Caribbean,High income,0.0,25702.50993273997,0.0,10.154343928867142
ABW,1987,1867.3494873046875,2143.880615234375,0.061833,0.0,,1070.1817626953125,1902.740966796875,2354.671630859375,6155.5439453125,,,,0.36246752738952637,0.09202548861503601,-0.0360618494451046,ABW,Latin America & Caribbean,High income,16.078431372549,30199.88496926702,0.0,10.315593394391039
ABW,1988,2218.915283203125,2543.2529296875,0.061078999999999994,0.0,,1274.364990234375,2251.9794921875,2784.639892578125,6851.08056640625,,,,0.3650497794151306,0.0925910472869873,-0.036292240023612976,ABW,Latin America & Caribbean,High income,18.6486486486487,36328.61185027792,0.0,10.500360915024139
ABW,1989,2485.197021484375,2657.24365234375,0.061031999999999996,0.0,,1437.75927734375,2505.7294921875,2835.81103515625,7645.857421875,,,,0.4042842388153076,0.10271686315536499,-0.03606493026018143,ABW,Latin America & Caribbean,High income,12.129840546697,40719.57369059469,0.0,10.614464181881651
ABW,1990,2575.255615234375,3012.51171875,0.062148999999999996,0.0,,1513.624267578125,2583.159423828125,3110.763427734375,8407.9423828125,,,,0.3946533203125,0.09192315489053726,-0.035828378051519394,ABW,Latin America & Caribbean,High income,3.96140172676485,41436.798906408396,0.0,10.631924627482723
